Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Ivy, Gleeful Spellthief","Ivy, Gleeful Spellthief","Dominaria united collectors ","Dominaria United","DMU","300","$0.40","$0.40","","1x","","","","R","Legendary Creature — Faerie Rogue","2","{G}{U}","Blue/Green","""• The second ability triggers whenever a player casts a spell that targets only one creature and no other object or player. It doesn’t matter who controls the creature.
• If a spell has multiple targets but all of them are the same creature, Ivy, Gleeful Spellthief’s second ability will trigger.
• The copy is created even if the spell that caused the ability to trigger has been countered by the time the ability resolves. The copy resolves before the original spell.
• If Ivy, Gleeful Spellthief isn’t a legal target for the spell, no copy can be created.
• The copy that Ivy, Gleeful Spellthief’s second ability creates is created on the stack, so it’s not “cast.” Other abilities that trigger when a player casts a spell won’t trigger.
• If the spell that’s copied is modal (that is, it says “Choose one —” or the like), the copy will have the same mode. You can’t choose a different one.
• If the spell that’s copied has an X whose value was determined as it was cast, the copy has the same value of X.
• The controller of a copy can’t choose to pay any additional costs for the copy. However, effects based on any additional costs that were paid for the original spell are copied as though those same costs were paid for the copy too. Notably, if the spell you copy was kicked, the copies will also be kicked.""","578053","""Flying
Whenever a player casts a spell that targets only a single creature other than Ivy, Gleeful Spellthief, you may copy that spell. The copy targets Ivy. (A copy of an Aura spell becomes a token.)""","2","1","0","USD","45cba0d0-ca77-47c0-8f77-7beedb6c557b","283535","5775328","","Eshpur","dmu"
"Ivy, Gleeful Spellthief","Ivy, Gleeful Spellthief","Dominaria united collectors ","Dominaria United","DMU","300","$0.50","$0.50","Foil","1x","","","","R","Legendary Creature — Faerie Rogue","2","{G}{U}","Blue/Green","""• The second ability triggers whenever a player casts a spell that targets only one creature and no other object or player. It doesn’t matter who controls the creature.
• If a spell has multiple targets but all of them are the same creature, Ivy, Gleeful Spellthief’s second ability will trigger.
• The copy is created even if the spell that caused the ability to trigger has been countered by the time the ability resolves. The copy resolves before the original spell.
• If Ivy, Gleeful Spellthief isn’t a legal target for the spell, no copy can be created.
• The copy that Ivy, Gleeful Spellthief’s second ability creates is created on the stack, so it’s not “cast.” Other abilities that trigger when a player casts a spell won’t trigger.
• If the spell that’s copied is modal (that is, it says “Choose one —” or the like), the copy will have the same mode. You can’t choose a different one.
• If the spell that’s copied has an X whose value was determined as it was cast, the copy has the same value of X.
• The controller of a copy can’t choose to pay any additional costs for the copy. However, effects based on any additional costs that were paid for the original spell are copied as though those same costs were paid for the copy too. Notably, if the spell you copy was kicked, the copies will also be kicked.""","578053","""Flying
Whenever a player casts a spell that targets only a single creature other than Ivy, Gleeful Spellthief, you may copy that spell. The copy targets Ivy. (A copy of an Aura spell becomes a token.)""","2","1","0","USD","45cba0d0-ca77-47c0-8f77-7beedb6c557b","283535","5775333","","Eshpur","dmu"
"Karplusan Forest","Karplusan Forest","Dominaria united collectors ","Dominaria United","DMU","250","$1.68","$1.68","Foil","1x","","","","R","Land","0","","Land","""""","574730","""{T}: Add {C}.
{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.""","0","0","0","USD","b89b2c79-e3d3-4ef9-bfc8-f9c090975011","282787","5745396","","Sam Burley","dmu"
"Karplusan Forest","Karplusan Forest","Dominaria united collectors ","Dominaria United","DMU","379","$2.04","$2.04","","1x","","","","R","Land","0","","Land","""""","577365","""{T}: Add {C}.
{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.""","0","0","0","USD","2a83eca4-b6ad-4ec4-91f2-b2a62b32b056","282788","5745471","","Randy Gallegos","dmu"
"King Darien XLVIII","King Darien XLVIII","Dominaria united collectors ","Dominaria United","DMU","204","$0.54","$0.54","Foil","1x","","","","R","Legendary Creature — Human Soldier","3","{1}{G}{W}","White/Green","""• If King Darien XLVIII leaves the battlefield, other creatures you control immediately lose the +1/+1 bonus. Notably, this means that if you activate its last ability after a creature has already been dealt damage, it might die due to having lethal damage before the ability resolves and gives it indestructible.
• In most cases where the value of X isn’t defined in the text of a card, its controller chooses the value of X. However, the X in King Darien’s name is always 10.
• XLVIII is forty-eight.""","574684","""Other creatures you control get +1/+1.
{3}{G}{W}: Put a +1/+1 counter on King Darien and create a 1/1 white Soldier creature token.
Sacrifice King Darien: Creature tokens you control gain hexproof and indestructible until end of turn.""","2","3","0","USD","10eca3b1-f35a-4984-bfc0-818e619b1ece","283353","5767421","","Donato Giancola","dmu"
"King Darien XLVIII","King Darien XLVIII","Dominaria united collectors ","Dominaria United","DMU","303","$0.39","$0.39","","1x","","","","R","Legendary Creature — Human Soldier","3","{1}{G}{W}","White/Green","""• If King Darien XLVIII leaves the battlefield, other creatures you control immediately lose the +1/+1 bonus. Notably, this means that if you activate its last ability after a creature has already been dealt damage, it might die due to having lethal damage before the ability resolves and gives it indestructible.
• In most cases where the value of X isn’t defined in the text of a card, its controller chooses the value of X. However, the X in King Darien’s name is always 10.
• XLVIII is forty-eight.""","578056","""Other creatures you control get +1/+1.
{3}{G}{W}: Put a +1/+1 counter on King Darien and create a 1/1 white Soldier creature token.
Sacrifice King Darien: Creature tokens you control gain hexproof and indestructible until end of turn.""","2","3","0","USD","b47698a3-f7eb-42e4-8246-b657f487a5df","283448","5770995","","Jody Clark","dmu"
"King Darien XLVIII","King Darien XLVIII","Dominaria united collectors ","Dominaria United","DMU","303","$0.46","$0.46","Foil","1x","","","","R","Legendary Creature — Human Soldier","3","{1}{G}{W}","White/Green","""• If King Darien XLVIII leaves the battlefield, other creatures you control immediately lose the +1/+1 bonus. Notably, this means that if you activate its last ability after a creature has already been dealt damage, it might die due to having lethal damage before the ability resolves and gives it indestructible.
• In most cases where the value of X isn’t defined in the text of a card, its controller chooses the value of X. However, the X in King Darien’s name is always 10.
• XLVIII is forty-eight.""","578056","""Other creatures you control get +1/+1.
{3}{G}{W}: Put a +1/+1 counter on King Darien and create a 1/1 white Soldier creature token.
Sacrifice King Darien: Creature tokens you control gain hexproof and indestructible until end of turn.""","2","3","0","USD","b47698a3-f7eb-42e4-8246-b657f487a5df","283448","5771000","","Jody Clark","dmu"
"Leaf-Crowned Visionary","Leaf-Crowned Visionary","Dominaria united collectors ","Dominaria United","DMU","167","$3.85","$3.85","Foil","1x","","","","R","Creature — Elf Druid","2","{G}{G}","Green","""• Leaf-Crowned Visionary’s ability triggers when you cast an Elf spell, and it resolves before that spell resolves. You may pay {G} to draw a card even if the spell was countered or Leaf-Crowned Visionary was removed from the battlefield in response.""","574647","""Other Elves you control get +1/+1.
Whenever you cast an Elf spell, you may pay {G}. If you do, draw a card.""","1","1","0","USD","aa7bd814-9f88-4e01-932d-07ac1abc060e","283469","5772460","","Anna Steinbauer","dmu"
"Leaf-Crowned Visionary","Leaf-Crowned Visionary","Dominaria united collectors ","Dominaria United","DMU","414","$3.66","$3.66","","1x","","","","R","Creature — Elf Druid","2","{G}{G}","Green","""• Leaf-Crowned Visionary’s ability triggers when you cast an Elf spell, and it resolves before that spell resolves. You may pay {G} to draw a card even if the spell was countered or Leaf-Crowned Visionary was removed from the battlefield in response.""","577529","""Other Elves you control get +1/+1.
Whenever you cast an Elf spell, you may pay {G}. If you do, draw a card.""","1","1","0","USD","ea7bc1f4-a0f5-42ee-b9ee-499fed12f884","283484","5773295","","Anna Steinbauer","dmu"
"Leyline Binding","Leyline Binding","Dominaria united collectors ","Dominaria United","DMU","24","$9.02","$9.02","Foil","1x","","","","R","Enchantment","6","{5}{W}","White","""• Leyline Binding’s last ability is a single ability that creates two one-shot effects: one that exiles the permanent when the ability resolves, and another that returns the exiled card to the battlefield immediately after Leyline Binding leaves the battlefield.
• If Leyline Binding leaves the battlefield before its enters-the-battlefield ability resolves, the target permanent won’t be exiled.
• Auras attached to the exiled permanent will be put into their owners’ graveyards. Equipment attached to an exiled creature will become unattached and remain on the battlefield. Any counters on the exiled permanent will cease to exist.
• If a token is exiled, it ceases to exist. It won’t be returned to the battlefield.
• In a multiplayer game, if Leyline Binding’s owner leaves the game, the exiled card will return to the battlefield. Because the one-shot effect that returns the card isn’t an ability that goes on the stack, it won’t cease to exist along with the leaving player’s spells and abilities on the stack.
• Domain abilities count the number of basic land types among lands you control, not how many lands you control or how many of any type.
• The basic land types are Plains, Island, Swamp, Mountain, and Forest. Land types other than basic land types (such as Desert) don’t contribute to domain abilities.""","574504","""Flash
Domain — This spell costs {1} less to cast for each basic land type among lands you control.
When Leyline Binding enters the battlefield, exile target nonland permanent an opponent controls until Leyline Binding leaves the battlefield.""","0","0","0","USD","3c3ac3dd-35db-447f-8674-37b4680a1ef7","283403","5768755","","Cristi Balanescu","dmu"
"Llanowar Loamspeaker","Llanowar Loamspeaker","Dominaria united collectors ","Dominaria United","DMU","170","$0.50","$0.50","Foil","1x","","","","R","Creature — Elf Druid","2","{1}{G}","Green","""• Llanowar Loamspeaker’s second ability doesn’t untap the land that becomes a creature.""","574650","""{T}: Add one mana of any color.
{T}: Target land you control becomes a 3/3 Elemental creature with haste until end of turn. It's still a land. Activate only as a sorcery.""","1","3","0","USD","bd5611db-82dd-464d-8b03-70d7619dcefe","279821","5726669","","Zara Alfonso","dmu"
"Orca, Siege Demon","Orca, Siege Demon","Dominaria united collectors ","Dominaria United Commander","DMC","59","$0.38","$0.38","","1x","","","","R","Legendary Creature — Demon","7","{5}{B}{R}","Black/Red","""• You announce how the damage will be divided as part of putting Orca, Siege Demon’s last triggered ability on the stack. Each chosen target must receive at least 1 damage.
• If Orca, Siege Demon’s last ability has multiple targets, and some but not all of them are illegal targets when the ability resolves, Orca, Siege Demon will still deal damage to the remaining legal targets according to the original damage division.
• If all of the targets are illegal when the ability tries to resolve, it won’t resolve and none of its effects will happen. Nothing will be dealt damage.""","0","""Trample
Whenever another creature dies, put a +1/+1 counter on Orca, Siege Demon.
When Orca dies, it deals damage equal to its power divided as you choose among any number of targets.""","5","5","0","USD","566607ba-24e7-4ff2-8ece-93dc790da845","283221","","","Daarken","dmc"
"Plaza of Heroes","Plaza of Heroes","Dominaria united collectors ","Dominaria United","DMU","421","$8.94","$8.94","","1x","","","","R","Land","0","","Land","""""","577536","""{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a legendary spell.
{T}: Add one mana of any color among legendary permanents you control.
{3}, {T}, Exile Plaza of Heroes: Target legendary creature gains hexproof and indestructible until end of turn.""","0","0","0","USD","ea9fc6ee-2205-4f77-8e14-313bfbe68c1e","283119","5759723","","Gabor Szikszai","dmu"
"Quirion Beastcaller","Quirion Beastcaller","Dominaria united collectors ","Dominaria United","DMU","175","$0.50","$0.50","","1x","","","","R","Creature — Dryad Warrior","2","{1}{G}","Green","""• You choose the targets and announce how the +1/+1 counters will be distributed as you put Quirion Beaastcaller’s second ability on the stack. Each target must receive at least one +1/+1 counter.
• If some of the creatures are illegal targets as the second triggered ability tries to resolve, the original distribution of counters still applies and the counters that would have been put on illegal targets are lost.""","574655","""Whenever you cast a creature spell, put a +1/+1 counter on Quirion Beastcaller.
When Quirion Beastcaller dies, distribute X +1/+1 counters among any number of target creatures you control, where X is the number of +1/+1 counters on Quirion Beastcaller.""","2","2","0","USD","2a501319-59a7-45d4-a6ca-666276095f87","283418","5769650","","Valera Lutfullina","dmu"
"Radha's Firebrand","Radha's Firebrand","Dominaria united collectors ","Dominaria United","DMU","408","$0.35","$0.35","","1x","","","","R","Creature — Human Warrior","2","{1}{R}","Red","""• Increasing the target creature’s power in response to Radha’s Firebrand’s first ability can cause it to be an illegal target for the ability. However, once the ability has resolved, it won’t be able to block even if its power becomes greater than Radha’s Firebrand’s power.
• Domain abilities count the number of basic land types among lands you control, not how many lands you control or how many of any type.
• The basic land types are Plains, Island, Swamp, Mountain, and Forest. Land types other than basic land types (such as Desert) don’t contribute to domain abilities.""","577523","""Whenever Radha's Firebrand attacks, target creature defending player controls with power less than Radha's Firebrand's power can't block this turn.
Domain — {5}{R}: Radha's Firebrand gets +2/+2 until end of turn. This ability costs {1} less to activate for each basic land type among lands you control. Activate only once each turn.""","3","1","0","USD","1d20e461-2850-4404-838a-ad2c810100b5","282862","5749776","","Ângelo Bortolini","dmu"
"Ratadrabik of Urborg","Ratadrabik of Urborg","Dominaria united collectors ","Dominaria United","DMU","312","$0.50","$0.50","","1x","","","","R","Legendary Creature — Zombie Wizard","4","{2}{W}{B}","White/Black","""• The token copies the creature as it last existed on the battlefield before it died, not as it exists in the graveyard.
• Except for power and toughness, the token copies only what was printed on the original creature (unless that creature is copying something else; see below) and adds the color black and the creature type Zombie. It doesn’t copy whether that creature was tapped or untapped, whether it had any counters on it or Auras or Equipment attached to it, or any non-copy effects that had changed its power, toughness, types, color, or so on.
• If the copied creature has {X} in its mana cost, X is considered to be 0.
• If the copied creature is a token, the new token that’s created copies the original characteristics of that token as stated by the effect that created that token, with the exceptions noted above.
• If the copied creature is copying something else, then the token enters the battlefield as whatever that creature copied, with the exceptions noted above.
• Any enters-the-battlefield abilities of the copied creature will trigger when the token enters the battlefield. Any “as [this creature] enters the battlefield” or “[this creature] enters the battlefield with” abilities of the chosen creature will also work.""","578065","""Vigilance, ward {2}
Other Zombies you control have vigilance.
Whenever another legendary creature you control dies, create a token that's a copy of that creature, except it's not legendary and it's a 2/2 black Zombie in addition to its other colors and types.""","3","3","0","USD","50ebcd93-672f-404a-8e4d-28713e9e611b","283164","5762537","","Nino Vecia","dmu"
"Rivaz of the Claw","Rivaz of the Claw","Dominaria united collectors ","Dominaria United","DMU","314","$0.35","$0.35","","1x","","","","R","Legendary Creature — Viashino Warlock","3","{1}{B}{R}","Black/Red","""• You can use mana generated by the activated ability to pay an alternative cost (such as an escape cost) or an additional cost to cast a Dragon spell. It’s not limited to paying just that spell’s mana cost.
• The casting permission granted by Rivaz’s third ability doesn’t change when you may cast the spell from your graveyard.
• Once you begin casting a spell from your graveyard, it immediately moves to the stack. Players can’t take any other actions until you’re done casting the spell.
• The last ability triggers when you cast a Dragon creature spell from your graveyard for any reason. It triggers even if you didn’t use mana generated by Rivaz’s activated ability to pay its costs.
• The ability that the spell gains as Rivaz’s last ability resolves continues to apply to the permanent that spell becomes after the spell resolves, even if it stops being a Dragon or stops being a creature.
• The ability that the spell gains only applies to it once it’s on the battlefield. If the spell is countered before it resolves, that ability will not exile it.""","578067","""Menace
{T}: Add two mana in any combination of colors. Spend this mana only to cast Dragon creature spells.
Once during each of your turns, you may cast a Dragon creature spell from your graveyard.
Whenever you cast a Dragon creature spell from your graveyard, it gains ""When this creature dies, exile it.""""","3","3","0","USD","fc6e2336-5bb6-4ea8-9c0a-961777176464","283451","5771235","","Eugene Frost","dmu"
"Robaran Mercenaries","Robaran Mercenaries","Dominaria united collectors ","Dominaria United Commander","DMC","22","$0.47","$0.47","","1x","","","","R","Creature — Human Mercenary","4","{3}{W}","White","""• The costs of activated abilities that Robaran Mercenaries gains must be paid as normal.
• Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keywords are activated abilities and will have colons in their reminder text.
• If Robaran Mercenaries gains an activated ability that’s normally linked to a non-activated ability of the creature it came from, the ability Robaran Mercenaries has isn’t linked to any ability.
• If Robaran Mercenaries gains an activated ability that’s normally linked to another activated ability of the creature it came from, those two abilities Robaran Mercenaries gains are linked for as long as that creature remains on the battlefield.""","580488","""Vigilance
Robaran Mercenaries has all activated abilities of all legendary creatures you control.""","3","4","0","USD","32e9a83f-be4b-4116-8e0d-61c159286ae0","283683","5782210","","Chuck Lukacs","dmc"
"Robaran Mercenaries","Robaran Mercenaries","Dominaria united collectors ","Dominaria United Commander","DMC","72","$0.49","$0.49","Foil","1x","","","","R","Creature — Human Mercenary","4","{3}{W}","White","""• The costs of activated abilities that Robaran Mercenaries gains must be paid as normal.
• Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keywords are activated abilities and will have colons in their reminder text.
• If Robaran Mercenaries gains an activated ability that’s normally linked to a non-activated ability of the creature it came from, the ability Robaran Mercenaries has isn’t linked to any ability.
• If Robaran Mercenaries gains an activated ability that’s normally linked to another activated ability of the creature it came from, those two abilities Robaran Mercenaries gains are linked for as long as that creature remains on the battlefield.""","580394","""Vigilance
Robaran Mercenaries has all activated abilities of all legendary creatures you control.""","3","4","0","USD","1409c364-a3b5-4ce5-bd17-742acc0088fb","283638","5778840","","Chuck Lukacs","dmc"
"Rohgahh, Kher Keep Overlord","Rohgahh, Kher Keep Overlord","Dominaria united collectors ","Dominaria United Commander","DMC","41","$0.35","$0.35","","1x","","","","R","Legendary Creature — Kobold Warrior","5","{3}{B}{R}","Black/Red","""• Each of Rohgahh, Kher Keep Overlord’s last two abilities goes on the stack above the spell that caused it to trigger and resolves first. It resolves even if that spell is countered or otherwise left the stack.""","597917","""Other Kobolds you control get +2/+2.
Whenever you cast a Kobold spell, you may pay {2}. If you do, create a 4/4 red Dragon creature token with flying.
Whenever you cast a Dragon spell, create a 0/1 red Kobold creature token named Kobolds of Kher Keep.""","4","4","0","USD","84e87400-cc3f-4476-b177-2c36a65f277b","283107","5784581","","Chris Seaman","dmc"
"Rohgahh, Kher Keep Overlord","Rohgahh, Kher Keep Overlord","Dominaria united collectors ","Dominaria United Commander","DMC","63","$0.40","$0.40","Foil","1x","","","","R","Legendary Creature — Kobold Warrior","5","{3}{B}{R}","Black/Red","""• Each of Rohgahh, Kher Keep Overlord’s last two abilities goes on the stack above the spell that caused it to trigger and resolves first. It resolves even if that spell is countered or otherwise left the stack.""","0","""Other Kobolds you control get +2/+2.
Whenever you cast a Kobold spell, you may pay {2}. If you do, create a 4/4 red Dragon creature token with flying.
Whenever you cast a Dragon spell, create a 0/1 red Kobold creature token named Kobolds of Kher Keep.""","4","4","0","USD","d3488954-e248-40f2-8194-0c5ae78cd6d4","283224","5765618","","Chris Seaman","dmc"
"Shivan Reef","Shivan Reef","Dominaria united collectors ","Dominaria United","DMU","380","$2.97","$2.97","Foil","1x","","","","R","Land","0","","Land","""• The damage dealt to you is part of the second mana ability. It doesn't use the stack and can't be responded to.
• Like most lands, each land in this cycle is colorless. The damage dealt to you is dealt by a colorless source.""","577366","""{T}: Add {C}.
{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.""","0","0","0","USD","72c11164-e98c-4f09-9840-825bd1f91247","282786","5745316","","Donato Giancola","dmu"
"Squee, Dubious Monarch","Squee, Dubious Monarch","Dominaria united collectors ","Dominaria United","DMU","332","$0.85","$0.85","Foil","1x","","","","R","Legendary Creature — Goblin Noble","3","{2}{R}","Red","""• Squee’s controller chooses which player or planeswalker the Goblin token is attacking. It doesn’t need to be the same player or planeswalker that Squee is attacking.
• The casting permission granted by Squee’s last ability doesn’t change when you may cast it from your graveyard.
• If Squee is countered or dies after being cast from your graveyard, it returns to the graveyard. It may be cast this way again later.
• Once you begin casting a spell from your graveyard, it immediately moves to the stack. Players can’t take any other actions until you’ve finished casting the spell.""","577837","""Haste
Whenever Squee, Dubious Monarch attacks, create a 1/1 red Goblin creature token that's tapped and attacking.
You may cast Squee, Dubious Monarch from your graveyard by paying {3}{R} and exiling four other cards from your graveyard rather than paying its mana cost.""","2","2","0","USD","897a6d17-d48d-409c-abf7-40b0526eae7a","282738","5741841","","Daniel Lieske","dmu"
"Stenn, Paranoid Partisan","Stenn, Paranoid Partisan","Dominaria united collectors ","Dominaria United","DMU","320","$0.30","$0.30","","1x","","","","R","Legendary Creature — Human Wizard","2","{W}{U}","White/Blue","""• The cost reduction applies only to generic mana in the cost of spells you cast of the chosen card type.
• To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying (such as a flashback cost), add any cost increases (such as kicker costs), then apply any cost reductions (such as that of Stenn’s second ability). The mana value of the spell is determined by only its mana cost, no matter what the total cost to cast that spell was.
• If Stenn’s controller activates its last ability during a player’s end step, the delayed triggered ability that returns it to the battlefield won’t trigger until the next time an end step begins, usually during the next player’s turn.""","578073","""As Stenn, Paranoid Partisan enters the battlefield, choose a card type other than creature or land.
Spells you cast of the chosen type cost {1} less to cast.
{1}{W}{U}: Exile Stenn. Return it to the battlefield under its owner's control at the beginning of the next end step.""","2","2","0","USD","4f73077b-ab99-4008-b49f-0cac4754f2ee","283455","5771555","","Tyler Crook","dmu"
"Stenn, Paranoid Partisan","Stenn, Paranoid Partisan","Dominaria united collectors ","Dominaria United","DMU","320","$0.39","$0.78","Foil","2x","","","","R","Legendary Creature — Human Wizard","2","{W}{U}","White/Blue","""• The cost reduction applies only to generic mana in the cost of spells you cast of the chosen card type.
• To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying (such as a flashback cost), add any cost increases (such as kicker costs), then apply any cost reductions (such as that of Stenn’s second ability). The mana value of the spell is determined by only its mana cost, no matter what the total cost to cast that spell was.
• If Stenn’s controller activates its last ability during a player’s end step, the delayed triggered ability that returns it to the battlefield won’t trigger until the next time an end step begins, usually during the next player’s turn.""","578073","""As Stenn, Paranoid Partisan enters the battlefield, choose a card type other than creature or land.
Spells you cast of the chosen type cost {1} less to cast.
{1}{W}{U}: Exile Stenn. Return it to the battlefield under its owner's control at the beginning of the next end step.""","2","2","0","USD","4f73077b-ab99-4008-b49f-0cac4754f2ee","283455","5771560","","Tyler Crook","dmu"
"Temporary Lockdown","Temporary Lockdown","Dominaria united collectors ","Dominaria United","DMU","389","$2.40","$2.40","Foil","1x","","","","R","Enchantment","3","{1}{W}{W}","White","""• Temporary Lockdown’s ability is a single ability that creates two one-shot effects: one that exiles the permanents when the ability resolves, and another that returns the exiled cards to the battlefield immediately after Temporary Lockdown leaves the battlefield.
• If Temporary Lockdown leaves the battlefield before its enters-the-battlefield ability resolves, no permanents will be exiled.
• Auras with mana value 3 or greater attached to an exiled permanent will be put into their owners’ graveyards. Equipment with mana value 3 or greater attached to an exiled creature will become unattached and remain on the battlefield. Any counters on the exiled permanent will cease to exist.
• Aura cards exiled this way will return to the battlefield attached to a permanent that they could enchant (based on their enchant ability) chosen by their owner. They cannot enchant any permanents that are entering the battlefield at the same time.
• If a token is exiled, it ceases to exist. It won’t be returned to the battlefield. The mana value of a token that isn’t a copy of another permanent is always 0.
• In a multiplayer game, if Temporary Lockdown’s owner leaves the game, the exiled cards will return to the battlefield. Because the one-shot effect that returns the cards isn’t an ability that goes on the stack, it won’t cease to exist along with the leaving player’s spells and abilities on the stack.""","577504","""When Temporary Lockdown enters the battlefield, exile each nonland permanent with mana value 2 or less until Temporary Lockdown leaves the battlefield.""","0","0","0","USD","b9672bc7-ccc9-4f89-ad92-60e130369336","283368","5767721","","Bryan Sola","dmu"
"The Elder Dragon War","The Elder Dragon War","Dominaria united collectors ","Dominaria United","DMU","121","$0.85","$0.85","Foil","1x","","","","R","Enchantment — Saga","4","{2}{R}{R}","Red","""• In a Two-Headed Giant game, the first chapter ability deals to damage to each player on the opposing team, reducing that team’s life total by 4.
• As a Saga with read ahead enters the battlefield, its controller chooses a number from one to that Saga’s greatest chapter number. The Saga enters the battlefield with the chosen number of lore counters. Neither choosing the number nor putting the counters on the Saga use the stack, and neither can be responded to.""","574601","""Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.)
I — The Elder Dragon War deals 2 damage to each creature and each opponent.
II — Discard any number of cards, then draw that many cards.
III — Create a 4/4 red Dragon creature token with flying.""","0","0","0","USD","0c52c7d4-a350-4518-8c9a-72cf7b14603d","283491","5773800","","Filip Burburan","dmu"
"The Ever-Changing 'Dane","The Ever-Changing 'Dane","Dominaria united collectors ","Dominaria United Commander","DMC","30","$0.30","$0.30","","1x","","","","R","Legendary Creature — Shapeshifter","3","{W}{U}{B}","White/Blue/Black","""• The Ever-Changing ’Dane copies the printed values of the creature plus any copy effects that have been applied to it. It won’t copy any other effects that have changed that creature’s power, toughness, color, and so on. The Ever-Changing ’Dane won’t copy any counters on the creature, but The Ever-Changing ’Dane will retain any counters it already had on it.
• If The Ever-Changing ’Dane becomes a copy of a token creature, it copies the original characteristics of that token as defined by the effect that put it onto the battlefield. It won’t become a token creature.
• The copy effect lasts indefinitely. Often, it will last until it is overwritten by another copy effect (if it copies another creature on a future turn, perhaps).
• When The Ever-Changing ’Dane becomes a copy of a creature, it’s neither entering nor leaving the battlefield. Any enters-the-battlefield or leaves-the-battlefield abilities won’t trigger.
• If another creature becomes a copy of The Ever-Changing ’Dane, it will become a copy of whatever The Ever-Changing ’Dane is currently copying (if anything), plus it will have the activated ability.""","597906","""{1}, Sacrifice another creature: The Ever-Changing 'Dane becomes a copy of the sacrificed creature, except it has this ability.""","3","3","0","USD","a17c5b28-e7d1-4ca6-bf6b-0a4c8b757232","283112","5759398","","Campbell White","dmc"
"The Ever-Changing 'Dane","The Ever-Changing 'Dane","Dominaria united collectors ","Dominaria United Commander","DMC","30","$0.40","$0.40","Foil","1x","","","","R","Legendary Creature — Shapeshifter","3","{W}{U}{B}","White/Blue/Black","""• The Ever-Changing ’Dane copies the printed values of the creature plus any copy effects that have been applied to it. It won’t copy any other effects that have changed that creature’s power, toughness, color, and so on. The Ever-Changing ’Dane won’t copy any counters on the creature, but The Ever-Changing ’Dane will retain any counters it already had on it.
• If The Ever-Changing ’Dane becomes a copy of a token creature, it copies the original characteristics of that token as defined by the effect that put it onto the battlefield. It won’t become a token creature.
• The copy effect lasts indefinitely. Often, it will last until it is overwritten by another copy effect (if it copies another creature on a future turn, perhaps).
• When The Ever-Changing ’Dane becomes a copy of a creature, it’s neither entering nor leaving the battlefield. Any enters-the-battlefield or leaves-the-battlefield abilities won’t trigger.
• If another creature becomes a copy of The Ever-Changing ’Dane, it will become a copy of whatever The Ever-Changing ’Dane is currently copying (if anything), plus it will have the activated ability.""","597906","""{1}, Sacrifice another creature: The Ever-Changing 'Dane becomes a copy of the sacrificed creature, except it has this ability.""","3","3","0","USD","a17c5b28-e7d1-4ca6-bf6b-0a4c8b757232","283112","5784696","","Campbell White","dmc"
"The Ever-Changing 'Dane","The Ever-Changing 'Dane","Dominaria united collectors ","Dominaria United Commander","DMC","52","$0.43","$0.43","Foil","1x","","","","R","Legendary Creature — Shapeshifter","3","{W}{U}{B}","White/Blue/Black","""• The Ever-Changing ’Dane copies the printed values of the creature plus any copy effects that have been applied to it. It won’t copy any other effects that have changed that creature’s power, toughness, color, and so on. The Ever-Changing ’Dane won’t copy any counters on the creature, but The Ever-Changing ’Dane will retain any counters it already had on it.
• If The Ever-Changing ’Dane becomes a copy of a token creature, it copies the original characteristics of that token as defined by the effect that put it onto the battlefield. It won’t become a token creature.
• The copy effect lasts indefinitely. Often, it will last until it is overwritten by another copy effect (if it copies another creature on a future turn, perhaps).
• When The Ever-Changing ’Dane becomes a copy of a creature, it’s neither entering nor leaving the battlefield. Any enters-the-battlefield or leaves-the-battlefield abilities won’t trigger.
• If another creature becomes a copy of The Ever-Changing ’Dane, it will become a copy of whatever The Ever-Changing ’Dane is currently copying (if anything), plus it will have the activated ability.""","0","""{1}, Sacrifice another creature: The Ever-Changing 'Dane becomes a copy of the sacrificed creature, except it has this ability.""","3","3","0","USD","9f82a016-75d4-44bd-9077-9c69753952fa","283113","5759433","","Campbell White","dmc"
